area_id,tower_id,generator_health_pct,backup_hours,tower_type
AR-001,T-001-1,32.1,7.2,Municipal
AR-001,T-001-2,21.6,23.2,Municipal
AR-002,T-002-1,75.1,16.8,Municipal
AR-002,T-002-2,98.0,6.5,Shared
AR-003,T-003-1,82.3,20.8,Shared
AR-003,T-003-2,41.6,19.7,Municipal
AR-004,T-004-1,32.4,23.7,Shared
AR-004,T-004-2,83.4,17.3,Commercial
AR-005,T-005-1,68.8,17.8,Commercial
AR-005,T-005-2,26.1,17.3,Commercial
AR-006,T-006-1,67.1,8.3,Municipal
AR-006,T-006-2,86.9,19.8,Shared
AR-007,T-007-1,29.8,21.2,Municipal
AR-007,T-007-2,83.0,19.1,Municipal
AR-008,T-008-1,68.6,15.4,Commercial
AR-008,T-008-2,60.9,15.4,Municipal
AR-009,T-009-1,96.6,4.6,Shared
AR-009,T-009-2,92.0,18.7,Shared
AR-010,T-010-1,89.8,12.8,Municipal
AR-010,T-010-2,63.2,10.7,Shared
AR-011,T-011-1,37.8,21.7,Municipal
AR-011,T-011-2,86.5,23.7,Commercial
AR-012,T-012-1,57.4,8.7,Municipal
AR-012,T-012-2,67.4,12.2,Municipal
AR-013,T-013-1,77.2,20.7,Shared
AR-013,T-013-2,23.9,22.4,Shared
AR-014,T-014-1,43.7,22.2,Municipal
AR-014,T-014-2,74.1,12.1,Commercial
AR-015,T-015-1,69.3,19.2,Municipal
AR-015,T-015-2,67.2,15.8,Shared
AR-016,T-016-1,57.2,17.3,Commercial
AR-016,T-016-2,24.3,9.3,Shared
